Date,AAPL,MMM,INTC,JPM,DE,WFC,BK,PM,HD,GE
2017-05-31,152.76,204.47,36.11,82.15,122.46,51.14,47.12,119.8,153.51,27.38
2017-06-01,153.18,204.35,36.12,83.06,124.7,52.08,47.42,120.9,155.15,27.72
2017-06-02,155.45,206.7,36.32,82.64,124.91,51.81,47.51,121.79,155.35,27.88
2017-06-05,153.93,206.22,36.34,82.79,125.33,51.72,47.54,121.97,154.79,27.98
2017-06-06,154.45,205.41,36.13,82.96,125.05,51.81,47.23,122.0,154.2,27.93
2017-06-07,155.37,205.01,36.26,83.91,125.29,52.09,47.9,122.3,154.96,27.68
2017-06-08,154.99,205.94,36.48,84.95,126.0,52.56,48.39,121.11,153.5,27.59
2017-06-09,148.98,206.93,35.71,86.96,125.95,53.8,49.4,120.12,152.96,27.94
2017-06-12,145.32,207.39,35.73,86.98,126.0,54.09,49.1,119.17,152.18,28.94
2017-06-13,146.59,209.11,35.88,87.27,126.42,54.45,49.57,118.69,153.99,28.45
2017-06-14,145.16,210.01,35.53,87.09,126.43,54.53,49.77,119.75,156.76,28.69
2017-06-15,144.29,211.29,35.31,86.57,126.37,53.9,49.78,120.51,156.77,28.94
2017-06-16,142.27,213.24,35.21,86.18,127.9,53.89,49.89,121.84,156.64,29.0
2017-06-19,146.34,213.36,35.51,88.07,126.99,54.24,50.28,122.9,158.81,28.8
2017-06-20,145.01,213.36,34.86,87.52,126.04,53.46,49.86,122.11,157.67,28.13
2017-06-21,145.87,212.86,34.58,87.12,124.78,52.98,49.59,120.19,156.59,27.78
2017-06-22,145.63,212.22,34.36,87.02,123.86,52.49,49.55,119.71,155.48,27.55
2017-06-23,146.35,212.9,34.19,86.86,123.6,52.45,49.17,119.56,151.31,27.57
2017-06-26,145.82,212.61,34.07,87.24,123.35,52.9,49.55,119.51,151.42,27.61
2017-06-27,143.74,209.78,33.65,88.05,122.0,53.16,49.68,118.14,152.24,27.21
2017-06-28,145.83,210.62,34.2,89.82,123.47,54.33,50.6,118.93,153.23,27.08
2017-06-29,143.68,207.85,33.54,91.15,121.91,55.78,51.01,117.08,152.16,27.02
2017-06-30,144.02,208.19,33.74,91.4,123.59,55.41,51.02,117.45,153.4,27.01
2017-07-03,143.5,209.83,33.46,92.75,124.95,55.78,51.83,116.9,154.01,27.45
2017-07-05,144.09,209.76,34.34,93.68,125.6,55.78,52.27,118.54,152.69,27.35
2017-07-06,142.73,208.02,33.63,93.38,125.09,55.56,51.23,118.35,152.05,26.31
2017-07-07,144.18,209.59,33.88,93.85,126.64,55.74,51.75,117.9,152.23,26.15
2017-07-10,145.06,210.49,33.65,93.19,128.14,55.59,51.88,118.16,151.18,26.04
2017-07-11,145.53,209.66,33.92,92.83,128.06,55.04,51.47,117.21,150.6,26.38
2017-07-12,145.74,211.3,34.25,92.51,123.48,55.17,51.45,118.23,152.59,26.58
2017-07-13,147.77,211.09,34.24,93.1,124.42,55.6,52.06,117.51,153.29,26.79
2017-07-14,149.04,211.77,34.68,92.25,125.47,54.99,52.36,119.13,152.88,26.78
2017-07-17,149.56,211.68,34.47,91.39,125.88,54.71,53.35,119.0,153.89,26.82
2017-07-18,150.08,211.31,34.53,91.07,126.09,54.8,53.53,119.64,152.17,26.89
2017-07-19,151.02,212.1,34.56,91.2,126.31,54.94,53.06,121.62,153.3,26.94
2017-07-20,150.34,212.45,34.75,91.2,125.6,54.88,53.91,119.86,147.03,26.69
2017-07-21,150.27,211.16,34.73,90.89,125.75,54.17,53.36,119.58,146.65,25.91
2017-07-24,152.09,210.0,34.5,91.28,126.55,54.27,53.47,118.89,144.58,25.43
2017-07-25,152.74,199.39,34.67,92.8,127.9,55.06,53.73,117.82,146.97,25.44
2017-07-26,153.46,199.03,34.75,91.93,127.82,54.91,53.39,117.65,146.69,25.59
2017-07-27,150.56,200.05,34.97,91.55,128.44,54.71,52.86,118.19,147.73,25.79
2017-07-28,149.5,199.72,35.31,91.28,128.91,53.3,52.66,118.51,148.08,25.53
2017-07-31,148.85,201.17,35.47,91.8,128.28,53.94,53.03,116.71,149.6,25.61
