Date,AAPL,MMM,INTC,JPM,DE,WFC,BK,PM,HD,GE,Portfolio Value
2017-03-29,1441.2,1906.8000000000002,355.7,882.6999999999999,1081.8000000000002,556.7,467.2,1134.0,1470.3999999999999,296.8,9593.3
2017-03-30,1439.3000000000002,1912.8,357.5,890.3,1091.7,562.4,475.3,1135.2,1469.5,298.7,9632.7
2017-03-31,1436.6,1913.3000000000002,360.7,878.4000000000001,1088.6,556.5999999999999,472.29999999999995,1129.0,1468.3000000000002,298.0,9601.8
2017-04-03,1437.0,1907.2,361.59999999999997,875.1999999999999,1087.8,554.9,471.3,1129.1,1466.2,298.8,9589.099999999999
2017-04-04,1447.7,1901.9,362.8,873.1,1095.0,552.0,469.7,1134.5,1463.4,300.2,9600.300000000001
2017-04-05,1440.2,1902.4,362.2,861.9,1092.5,549.8,470.0,1131.9,1466.3999999999999,299.7,9577.000000000002
2017-04-06,1436.6,1898.8999999999999,360.3,864.8000000000001,1104.4,553.6999999999999,473.1,1125.9,1472.4,299.3,9589.4
2017-04-07,1433.4,1899.9,360.3,861.8000000000001,1093.1999999999998,548.4000000000001,471.5,1136.0,1471.3,299.9,9575.699999999999
2017-04-10,1431.6999999999998,1897.1000000000001,358.0,858.8,1096.3,545.4,470.6,1130.5,1482.1000000000001,300.1,9570.6
2017-04-11,1416.3,1900.6999999999998,357.40000000000003,857.3000000000001,1111.6,541.5999999999999,472.59999999999997,1134.2,1482.0,300.4,9574.1
2017-04-12,1418.0,1897.0,356.3,854.0,1093.5,531.1999999999999,468.9,1137.8,1465.3999999999999,297.7,9519.800000000001
2017-04-13,1410.5,1886.5,352.5,844.0,1080.0,513.5,464.20000000000005,1130.6,1459.1,295.59999999999997,9436.5
2017-04-17,1418.3000000000002,1903.6000000000001,354.79999999999995,858.6,1088.0,527.2,470.5,1147.3999999999999,1473.1,296.4,9537.900000000001
2017-04-18,1412.0,1902.2,357.65,851.5999999999999,1084.7,524.5,468.9,1152.1,1477.6,298.4,9529.65
2017-04-19,1406.8000000000002,1898.3000000000002,359.09999999999997,844.5999999999999,1082.2,521.5,468.6,1139.1,1472.2,300.0,9492.4
2017-04-20,1424.4,1911.6,361.8,855.5,1088.0,535.0,466.5,1099.8,1487.2,302.7,9532.500000000002
2017-04-21,1422.7,1915.0,363.2,845.1999999999999,1075.4,530.0,467.5,1096.2,1500.0,295.5,9510.7
2017-04-24,1436.3999999999999,1942.3,367.5,875.0,1102.5,536.5,475.5,1123.9,1518.8999999999999,295.5,9674.0
2017-04-25,1445.3999999999999,1951.3,368.7,882.6,1131.5,545.6,472.25,1130.9,1530.3,294.5,9753.05
2017-04-26,1436.508,1950.0,369.3,884.3000000000001,1125.5,545.4,471.5,1111.5,1542.2,292.6,9728.808
2017-04-27,1437.8999999999999,1961.1000000000001,374.3,876.1,1111.8000000000002,544.4,472.2,1101.9,1561.2,290.79999999999995,9731.699999999999
2017-04-28,1436.5,1958.3000000000002,361.3,870.0,1116.1,538.4000000000001,470.6,1108.4,1561.0,289.9,9710.5
2017-05-01,1466.0,1948.1,363.1,870.6,1119.7,544.6,471.8,1105.5,1542.1000000000001,289.40000000000003,9720.9
2017-05-02,1475.1,1965.3,369.79999999999995,865.0,1109.3000000000002,545.4,471.2,1104.7,1549.5,289.9,9745.199999999999
2017-05-03,1470.6,1976.3,369.601,870.0,1107.9,548.5,474.0,1106.1,1550.0,292.3,9765.301
2017-05-04,1465.3,1995.1,368.5,871.0,1120.3,551.8,476.1,1112.0,1548.6000000000001,292.0,9800.699999999999
2017-05-05,1489.6000000000001,1994.0,368.2,870.0,1131.1,551.1,476.5,1122.5,1557.3,292.2,9852.5
2017-05-08,1530.0,1986.5,365.20000000000005,871.0,1126.4,550.4,476.8,1126.3,1568.8999999999999,290.7,9892.2
2017-05-09,1539.6000000000001,1979.6000000000001,363.7,867.5,1135.8,546.8,471.2,1119.3000000000002,1576.8000000000002,289.3,9889.6
2017-05-10,1532.6,1966.3999999999999,360.09999999999997,874.3000000000001,1135.5,547.2,471.59999999999997,1108.3,1581.3,287.0,9864.3
2017-05-11,1539.5,1967.5,356.9,871.5999999999999,1134.7,537.4,469.3,1111.9,1562.0,288.7,9839.5
2017-05-12,1561.0,1965.6999999999998,355.3,869.2,1131.1,530.2,467.59999999999997,1117.1,1569.1999999999998,282.7,9849.1
2017-05-15,1557.0,1976.3,356.3,873.4000000000001,1138.0,533.2,471.1,1123.6,1573.3000000000002,281.8,9884.0
2017-05-16,1554.7,1979.1,358.2,876.1,1148.0,532.6,471.8,1135.2,1582.6,280.4,9918.7
2017-05-17,1502.5,1948.4,350.4,842.6999999999999,1132.3,522.4,462.9,1137.5,1560.9,274.1,9734.1
2017-05-18,1525.3999999999999,1952.4,352.2,839.5999999999999,1126.7,523.8000000000001,462.0,1135.8,1557.0,274.8,9749.7
2017-05-19,1529.6000000000001,1958.0,353.84999999999997,847.8,1209.0,530.6,465.4,1147.3999999999999,1563.0,280.5,9885.15
2017-05-22,1539.9,1985.1,357.70000000000005,847.0,1217.1,530.1,468.0,1162.2,1559.6000000000001,281.8,9948.499999999998
2017-05-23,1538.0,1977.3,358.6,857.6,1221.3,533.9,470.3,1164.6,1548.3000000000002,282.8,9952.699999999999
2017-05-24,1533.4,1974.9,361.2,857.0999999999999,1227.8,530.9000000000001,469.6,1174.3000000000002,1550.0,278.29999999999995,9957.5
2017-05-25,1538.7,1995.3999999999999,362.59999999999997,853.5,1224.3000000000002,527.8,473.8,1194.8,1564.6000000000001,274.9,10010.4
2017-05-26,1536.1000000000001,2006.6999999999998,362.59999999999997,853.6,1227.9,524.0999999999999,474.09999999999997,1198.3,1549.0,274.5,10006.9
2017-05-30,1536.6999999999998,2024.4,361.8,839.0,1222.6000000000001,521.5999999999999,471.0,1199.5,1538.8,273.6,9989.0
2017-05-31,1527.6,2044.7,361.1,821.5,1224.6,511.4,471.2,1198.0,1535.1,273.8,9968.999999999998
2017-06-01,1531.8000000000002,2043.5,361.2,830.6,1247.0,520.8,474.20000000000005,1209.0,1551.5,277.2,10046.800000000001
2017-06-02,1554.5,2067.0,363.2,826.4,1249.1,518.1,475.09999999999997,1217.9,1553.5,278.8,10103.599999999999
2017-06-05,1539.3000000000002,2062.2,363.40000000000003,827.9000000000001,1253.3,517.2,475.4,1219.7,1547.8999999999999,279.8,10086.099999999999
2017-06-06,1544.5,2054.1,361.3,829.5999999999999,1250.5,518.1,472.29999999999995,1220.0,1542.0,279.3,10071.699999999999
2017-06-07,1553.7,2050.1,362.59999999999997,839.0999999999999,1252.9,520.9000000000001,479.0,1223.0,1549.6000000000001,276.8,10107.699999999999
2017-06-08,1549.9,2059.4,364.79999999999995,849.5,1260.0,525.6,483.9,1211.1,1535.0,275.9,10115.1
2017-06-09,1489.8,2069.3,357.1,869.5999999999999,1259.5,538.0,494.0,1201.2,1529.6000000000001,279.40000000000003,10087.5
2017-06-12,1453.1999999999998,2073.8999999999996,357.29999999999995,869.8000000000001,1260.0,540.9000000000001,491.0,1191.7,1521.8000000000002,289.40000000000003,10048.999999999998
2017-06-13,1465.9,2091.1000000000004,358.8,872.6999999999999,1264.2,544.5,495.7,1186.9,1539.9,284.5,10104.199999999999
2017-06-14,1451.6,2100.1,355.3,870.9000000000001,1264.3000000000002,545.3,497.70000000000005,1197.5,1567.6,286.90000000000003,10137.2
2017-06-15,1442.8999999999999,2112.9,353.1,865.6999999999999,1263.7,539.0,497.8,1205.1000000000001,1567.7,289.40000000000003,10137.300000000001
2017-06-16,1422.7,2132.4,352.1,861.8000000000001,1279.0,538.9,498.9,1218.4,1566.3999999999999,290.0,10160.6
2017-06-19,1463.4,2133.6000000000004,355.09999999999997,880.6999999999999,1269.8999999999999,542.4,502.8,1229.0,1588.1,288.0,10253.0
2017-06-20,1450.1,2133.6000000000004,348.6,875.1999999999999,1260.4,534.6,498.6,1221.1,1576.6999999999998,281.3,10180.2
2017-06-21,1458.7,2128.6000000000004,345.79999999999995,871.2,1247.8,529.8,495.90000000000003,1201.9,1565.9,277.8,10123.4
2017-06-22,1456.3,2122.2,343.6,870.1999999999999,1238.6,524.9,495.5,1197.1,1554.8,275.5,10078.699999999999
2017-06-23,1463.5,2129.0,341.9,868.6,1236.0,524.5,491.70000000000005,1195.6,1513.1,275.7,10039.6
2017-06-26,1458.1999999999998,2126.1000000000004,340.7,872.4,1233.5,529.0,495.5,1195.1000000000001,1514.1999999999998,276.1,10040.800000000001
